gbifid	datasetkey	occurrenceid	kingdom	phylum	class	order	family	genus	species	infraspecificepithet	taxonrank	scientificname	countrycode	locality	publishingorgkey	decimallatitude	decimallongitude	coordinateuncertaintyinmeters	coordinateprecision	elevation	elevationaccuracy	depth	depthaccuracy	eventdate	day	month	year	taxonkey	specieskey	basisofrecord	institutioncode	collectioncode	catalognumber	recordnumber	identifiedby	license	rightsholder	recordedby	typestatus	establishmentmeans	lastinterpreted	mediatype	issue
859412569	96ca66b4-f762-11e1-a439-00145eb45e9a	urn:catalog:AMNH:Mammals:M-106110	Animalia	Chordata	Mammalia	Scandentia	Tupaiidae	Tupaia	Tupaia gracilis	gracilis	SUBSPECIES	Tupaia gracilis subsp. gracilis	ID	Riam, Kotawaringin	ccd1ddc0-6c21-11de-8224-b8a03c50a862	-1.51667	111.5			300.0	0.0			1935-11-23T01:00Z	23	11	1935	6165200	2436279	PRESERVED_SPECIMEN	AMNH	Mammals	M-106110	356		CC0_1_0		J. J. Menden		NATIVE	2016-08-04T12:29Z		GEODETIC_DATUM_ASSUMED_WGS84
859412602	96ca66b4-f762-11e1-a439-00145eb45e9a	urn:catalog:AMNH:Mammals:M-106054	Animalia	Chordata	Mammalia	Carnivora	Viverridae	Viverra	Viverra tangalunga	tangalunga	SUBSPECIES	Viverra tangalunga subsp. tangalunga	ID	Riam, Kotawaringin	ccd1ddc0-6c21-11de-8224-b8a03c50a862	-1.51667	111.5			300.0	0.0			1935-11-08T01:00Z	8	11	1935	7193930	5219330	PRESERVED_SPECIMEN	AMNH	Mammals	M-106054	217		CC0_1_0		J. J. Menden		NATIVE	2016-08-04T12:29Z		GEODETIC_DATUM_ASSUMED_WGS84
859412603	96ca66b4-f762-11e1-a439-00145eb45e9a	urn:catalog:AMNH:Mammals:M-106225	Animalia	Chordata	Mammalia	Rodentia	Muridae	Rattus			GENUS	Rattus Fischer, 1803	ID	Riam, Kotawaringin	ccd1ddc0-6c21-11de-8224-b8a03c50a862	-1.51667	111.5			300.0	0.0			1935-11-04T01:00Z	4	11	1935	2439223		PRESERVED_SPECIMEN	AMNH	Mammals	M-106225	136		CC0_1_0		J. J. Menden		NATIVE	2016-08-04T12:29Z		GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_HIGHERRANK
1145681231	0daed095-478a-4af6-abf5-18acb790fbb2	http://arctos.database.museum/guid/MVZ:Mamm:114297?seid=1108944	Animalia	Chordata	Mammalia	Primates	Hominidae	Pongo	Pongo pygmaeus		SPECIES	Pongo pygmaeus (Linnaeus, 1760)	ID	Kalimantan	8edbbde0-055e-11d8-b850-b8a03c50a862	-1.0	114.0	750016.0										5219532	5219532	PRESERVED_SPECIMEN	MVZ	Mammal specimens	114297		Museum of Vertebrate Zoology, University of California, Berkeley	CC0_1_0		Collector(s): unknown			2016-09-05T19:26Z		RECORDED_DATE_INVALID
476815098	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	MCZ:Mamm:59544	Animalia	Chordata	Mammalia	Chiroptera	Pteropodidae	Balionycteris	Balionycteris maculata		SPECIES	Balionycteris maculata (Thomas, 1893)	ID	west Kalimantan, Gunung Palung Nature Reserve	b4640710-8e03-11d8-b956-b8a03c50a862	-1.05	110.11667		0.0					1986-01-03T01:00Z	3	1	1986	2432945	2432945	PRESERVED_SPECIMEN	MCZ	Mamm	59544		[no agent data]	CC_BY_NC_4_0	President and Fellows of Harvard College	Fujita, Mary			2016-09-05T21:12Z		COORDINATE_UNCERTAINTY_METERS_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;COORDINATE_ROUNDED
1144863496	5df38344-b821-49c2-8174-cf0f29f4df0d	http://n2t.net/ark:/65665/3043cad34-1023-4e2c-922d-802ff0214f2d	Animalia	Chordata	Mammalia	Chiroptera	Hipposideridae	Hipposideros	Hipposideros cervinus		SPECIES	Hipposideros cervinus (Gould, 1854)	MY	Bukit Sarang, Ulu Kakus	bc092ff0-02e4-11dc-991f-b8a03c50a862	2.6533	113.0514							2007-01-31T01:00Z	31	1	2007	5218596	5218596	MATERIAL_SAMPLE	USNM	Mammals	10953113			CC_BY_NC_4_0		K. Helgen			2016-08-04T02:03Z		GEODETIC_DATUM_ASSUMED_WGS84
1144868696	5df38344-b821-49c2-8174-cf0f29f4df0d	http://n2t.net/ark:/65665/315eed8bb-1cce-4a39-b8ae-efddad183450	Animalia	Chordata	Mammalia	Chiroptera	Hipposideridae	Hipposideros	Hipposideros cervinus		SPECIES	Hipposideros cervinus (Gould, 1854)	MY	Bukit Sarang, Ulu Kakus	bc092ff0-02e4-11dc-991f-b8a03c50a862	2.6533	113.0514							2007-01-23T01:00Z	23	1	2007	5218596	5218596	MATERIAL_SAMPLE	USNM	Mammals	10952102			CC_BY_NC_4_0		K. Helgen			2016-08-04T02:03Z		GEODETIC_DATUM_ASSUMED_WGS84
1144870329	5df38344-b821-49c2-8174-cf0f29f4df0d	http://n2t.net/ark:/65665/31b5186cb-50fc-4a3e-a91d-cd2d328d8208	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Myotis	Myotis horsfieldii		SPECIES	Myotis horsfieldii (Temminck, 1840)	MY	Ulu Kakas, Bukit Sarang	bc092ff0-02e4-11dc-991f-b8a03c50a862	2.65333	113.0515			17.0				2005-01-16T01:00Z	16	1	2005	2432388	2432388	MATERIAL_SAMPLE	USNM	Mammals	10949932			CC_BY_NC_4_0		D. Wilson			2016-08-04T01:44Z		GEODETIC_DATUM_ASSUMED_WGS84
1144876375	5df38344-b821-49c2-8174-cf0f29f4df0d	http://n2t.net/ark:/65665/32fa32228-e26e-4055-bd45-a95cc36368bd	Animalia	Chordata	Mammalia	Chiroptera	Hipposideridae	Hipposideros	Hipposideros galeritus		SPECIES	Hipposideros galeritus Cantor, 1846	MY	Bukit Sarang, Ulu Kakus	bc092ff0-02e4-11dc-991f-b8a03c50a862	2.6533	113.0514							2007-01-31T01:00Z	31	1	2007	5218606	5218606	MATERIAL_SAMPLE	USNM	Mammals	10953117			CC_BY_NC_4_0		K. Helgen			2016-08-04T02:03Z		GEODETIC_DATUM_ASSUMED_WGS84
1144880184	5df38344-b821-49c2-8174-cf0f29f4df0d	http://n2t.net/ark:/65665/33c93a9b8-acf9-4609-a5bf-0cf78e558b22	Animalia	Chordata	Mammalia	Chiroptera	Pteropodidae	Penthetor	Penthetor lucasi		SPECIES	Penthetor lucasi (Dobson, 1880)	MY	Bukit Sarang, Ulu Kakus	bc092ff0-02e4-11dc-991f-b8a03c50a862	2.6533	113.0514							2007-01-23T01:00Z	23	1	2007	2432933	2432933	MATERIAL_SAMPLE	USNM	Mammals	10952106			CC_BY_NC_4_0		K. Helgen			2016-08-04T02:03Z		GEODETIC_DATUM_ASSUMED_WGS84
1144882344	5df38344-b821-49c2-8174-cf0f29f4df0d	http://n2t.net/ark:/65665/3442eefed-6d30-4392-9a6c-48a1b70814a6	Animalia	Chordata	Mammalia	Chiroptera	Hipposideridae	Hipposideros	Hipposideros cervinus		SPECIES	Hipposideros cervinus (Gould, 1854)	MY	Bukit Sarang, Ulu Kakus	bc092ff0-02e4-11dc-991f-b8a03c50a862	2.6533	113.0514							2007-01-22T01:00Z	22	1	2007	5218596	5218596	MATERIAL_SAMPLE	USNM	Mammals	10952384			CC_BY_NC_4_0		K. Helgen			2016-08-04T02:03Z		GEODETIC_DATUM_ASSUMED_WGS84
1144882987	5df38344-b821-49c2-8174-cf0f29f4df0d	http://n2t.net/ark:/65665/3464d089a-ae3a-4c97-bf22-8e678cff62ea	Animalia	Chordata	Mammalia	Chiroptera	Pteropodidae	Cynopterus	Cynopterus brachyotis		SPECIES	Cynopterus brachyotis (Müller, 1838)	MY	Ulu Kakas, Bukit Sarang	bc092ff0-02e4-11dc-991f-b8a03c50a862	2.65333	113.0515			17.0				2005-01-16T01:00Z	16	1	2005	2432837	2432837	MATERIAL_SAMPLE	USNM	Mammals	10949925			CC_BY_NC_4_0		D. Wilson			2016-08-04T01:44Z		GEODETIC_DATUM_ASSUMED_WGS84
